Última atualização: 18/01/2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Altitude;Operação;Designação;Comprimento;Largura;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link Portaria
SDRV;MS0049;Tenoar;CHAPADÃO DO SUL;Mato Grosso do Sul;"052°41'12,0""O";"18°44'54,0""S";821;VFR Diurna;3/21;1000;20;5000Kg / ,5 MPa;Cascalho;17/04/2023;PA2013-0971;https://pergamum.anac.gov.br/arquivos/PA2013-0971
SJSX;GO0086;Fazenda Forquilha;MATRINCHÃ;Goiás;"050°50'12,0""O";"15°12'59,0""S";328;VFR Diurna;11/29;1200;20;5700Kg / ,5 MPa;Cascalho;;;
SWYR;MT0439;Fazenda Nossa Senhora do Pilar;JAURU;Mato Grosso;"058°47'38,0""O";"15°21'03,0""S";317;VFR Diurna;18/36;700;18;5670Kg / ,5 MPa;Cascalho;11/03/2024;PA2015-0732;https://pergamum.anac.gov.br/arquivos/PA2015-0732
SWZE;MT0445;Fazenda Tamboril;PONTES E LACERDA;Mato Grosso;"059°22'27,0""O";"15°03'44,0""S";335;VFR Diurna;13/31;800;18;5000Kg / ,5 MPa;Grama;09/08/2023;PA2013-2015;https://pergamum.anac.gov.br/arquivos/PA2013-2015
SDTX;SP0148;Fazenda São José;ILHA SOLTEIRA;São Paulo;"051°21'27""O";"20°32'31,0""S";377;VFR Diurna;3/21;800;30;5000Kg / ,5 MPa;Grama;20/06/2022;PA2012-1227;https://pergamum.anac.gov.br/arquivos/PA2012-1227
SIJM;MT0098;Fazenda Tupancy;SAPEZAL;Mato Grosso;"058°35'22,0""O";"13°27'18,0""S";524;VFR Diurna;6/24;900;18;5700Kg / ,5 MPa;Cascalho;05/06/2025;PA2015-1334;https://pergamum.anac.gov.br/arquivos/PA2015-1334
SIYM;PR0053;Fazenda Montesion;TOLEDO;Paraná;"053°45'17,1""O";"24°52'53,8""S";582;VFR Diurna;1/19;750;20;5000Kg / ,5 MPa;Grama;25/01/2023;PA2016-1285;https://pergamum.anac.gov.br/arquivos/PA2016-1285
SIKI;CE0015;Cialne Irauçuba;IRAUÇUBA;Ceará;"039°57'06,0""O";"03°45'16,0""S";151;VFR Diurna;8/26;750;20;5700Kg / ,62 MPa;Piçarra;17/02/2026;PA2016-0296;https://pergamum.anac.gov.br/arquivos/PA2016-0296
SWMH;GO0137;Fazenda Bom Pastor;ITAPIRAPUÃ;Goiás;"051°01'04,0""O";"15°32'20,0""S";285;VFR Diurna;16/34;800;20;5700Kg / ,5 MPa;Cascalho;09/03/2025;PA2015-0593;https://pergamum.anac.gov.br/arquivos/PA2015-0593
SDXR;SP0163;Fazenda Romário;BARBOSA;São Paulo;"050°00'25,0""O";"21°16'46,0""S";391;VFR Diurna;6/24;900;30;5600Kg / ,5 MPa;Terra;20/08/2025;PA2015-2217;https://pergamum.anac.gov.br/arquivos/PA2015-2217
SJQU;BA0121;Fazenda Formosa;FORMOSA DO RIO PRETO;Bahia;"045°23'21,0""O";"10°42'10,0""S";767;VFR Diurna;6/24;1500;30;5700Kg / ,5 MPa;Terra;23/12/2025;PA2015-3385;https://pergamum.anac.gov.br/arquivos/PA2015-3385
SIXI;PA0062;Pista Aldeia Kokraymoro;SÃO FÉLIX DO XINGU;Pará;"052°34'11,0""O";"07°12'37,0""S";219;VFR Diurna;10/28;700;18;5000Kg / ,5 MPa;Terra;02/12/2025;PA2015-3176;https://pergamum.anac.gov.br/arquivos/PA2015-3176
