Última atualização: 18/01/2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Altitude;Operação;Designação;Comprimento;Largura;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link Portaria
SWYO;SP0284;Usina Branco Peres;ADAMANTINA;São Paulo;"051°01'31,0""O";"21°28'56,0""S";407;VFR Diurna;3/21;950;25;5700Kg / ,5 MPa;Terra;21/09/2022;PA2016-1564;https://pergamum.anac.gov.br/arquivos/PA2016-1564
SNZK;MG0174;Fazenda Canadá;ITACARAMBI;Minas Gerais;"044°02'36,0""O";"15°01'24,0""S";460;VFR Diurna;12/30;1560;24;8/F/C/Y/U;Asfalto;;;
SDBN;SP0080;Associação Recreativa Fazenda Bonanza;SALTO DE PIRAPORA;São Paulo;"047°33'27""O";"23°41'14,0""S";706;VFR Noturna;1/19;610;20;8/F/C/Y/U;Asfalto;23/11/2021;PA2014-1895;https://pergamum.anac.gov.br/arquivos/PA2014-1895
SIVW;SP0198;Banaer de Jacupiranga;JACUPIRANGA;São Paulo;"048°01'26,0""O";"24°42'36,0""S";27;VFR Diurna;9/27;400;18;3000Kg / ,5 MPa;Cascalho;19/03/2023;PA2013-0711;https://pergamum.anac.gov.br/arquivos/PA2013-0711
SIAI;PR0042;Fazenda Esteirinha;GOIOERÊ;Paraná;"053°10'53,0""O";"24°12'33,0""S";434;VFR Noturna;9/27;1200;20;4000Kg / ,5 MPa;Grama;16/04/2028;PA2020-1725;https://pergamum.anac.gov.br/arquivos/PA2020-1725
SJXA;MG0137;Clube de Aviação de Itaúna;ITAÚNA;Minas Gerais;"044°39'15,0""O";"20°04'28,0""S";805;VFR Diurna;14/32;1300;23;5400Kg / ,5 MPa;Terra;05/09/2028;PA2018-2631;https://pergamum.anac.gov.br/arquivos/PA2018-2631
SDFE;MT0035;Fazenda Pertinho do Céu;GUIRATINGA;Mato Grosso;"053°54'45,1""O";"16°28'22,7""S";656;VFR Diurna;16/34;1000;23;4000Kg / ,5 MPa;Terra;19/11/2022;PA2012-2482;https://pergamum.anac.gov.br/arquivos/PA2012-2482
SSGT;MS0280;Fazenda Capão Alto;RIO BRILHANTE;Mato Grosso do Sul;"054°48'50,0""O";"21°41'56,0""S";320;VFR Diurna;14/32;900;25;3000Kg / ,5 MPa;Terra;25/01/2023;PA2013-0214;https://pergamum.anac.gov.br/arquivos/PA2013-0214
SNXY;PA0113;Cikel Brasil Verde;PORTEL;Pará;"050°31'43,0""O";"02°42'01,0""S";30;VFR Diurna;5/23;1200;20;3000Kg / ,5 MPa;Piçarra;19/03/2023;PA2013-0703;https://pergamum.anac.gov.br/arquivos/PA2013-0703
SSME;MS0306;Fazenda Ipiranga;ANASTÁCIO;Mato Grosso do Sul;"055°33'57,0""O";"20°58'50,0""S";245;VFR Diurna;2/20;1000;30;3000Kg / ,5 MPa;Grama;23/07/2023;PA2013-1885;https://pergamum.anac.gov.br/arquivos/PA2013-1885
SICU;MG0094;Ouro Branco;PARACATU;Minas Gerais;"047°01'04,0""O";"16°42'59,0""S";924;VFR Diurna;5/23;1200;30;5700Kg / ,5 MPa;Grama;09/10/2025;PA2015-2662;https://pergamum.anac.gov.br/arquivos/PA2015-2662
SJKK;PR0057;Sérgio Bonifácio;IVAIPORÃ;Paraná;"051°38'39,0""O";"24°15'49,0""S";694,3;VFR Diurna;10/28;900;18;3000Kg / ,5 MPa;Grama;;;
SISU;MG0108;Fazenda Topázio Imperial;GAMELEIRAS;Minas Gerais;"043°18'53,0""O";"14°58'02,0""S";487;VFR Diurna;8/26;1200;23;4000Kg / ,5 MPa;Terra;28/09/2021;PA2011-1874;https://pergamum.anac.gov.br/arquivos/PA2011-1874
SWNA;AM0050;Novo Aripuanã;NOVO ARIPUANÃ;Amazonas;"060°21'52,0""O";"05°07'03,0""S";36;VFR Diurna;7/25;1200;27;5700Kg / ,5 MPa;Asfalto;15/09/2026;PA2016-1952;https://pergamum.anac.gov.br/arquivos/PA2016-1952
SWGU;MT0452;Fazenda São Gabriel;BRASNORTE;Mato Grosso;"058°14'57,0""O";"12°39'22,0""S";424;VFR Diurna;15/33;900;18;5700Kg / ,5 MPa;Cascalho;30/11/2028;PA2018-3569;https://pergamum.anac.gov.br/arquivos/PA2018-3569
SWRM;RO0036;FAZENDA REMANSO;CACOAL;Rondônia;"061°05'20,0""O";"11°10'56,0""S";227;VFR Diurna;2/20;1200;20;5700Kg / ,5 MPa;Cascalho;08/12/2027;PA2017-3944;https://pergamum.anac.gov.br/arquivos/PA2017-3944
SSTM;AM0041;Fazenda Santo Antônio;MANICORÉ;Amazonas;"061°41'02,0""O";"07°47'35,0""S";75;VFR Diurna;18/36;1000;20;5700Kg / ,5 MPa;Cascalho;08/12/2027;PA2017-3964;https://pergamum.anac.gov.br/arquivos/PA2017-3964
SSVO;SP0259;Usina de Monções;MONÇÕES;São Paulo;"050°07'47,0""O";"20°52'10,0""S";436;VFR Diurna;15/33;1000;23;8/F/C/Y/U;Asfalto;13/11/2023;PA2013-2951;https://pergamum.anac.gov.br/arquivos/PA2013-2951
SDOL;MT0050;Fazenda Agropesp;TAPURAH;Mato Grosso;"056°54'25,0""O";"12°26'29,0""S";299;VFR Diurna;1/19;1400;18;5700Kg / ,5 MPa;Cascalho;01/07/2023;PA2013-1650;https://pergamum.anac.gov.br/arquivos/PA2013-1650
SDDV;SP0089;Usina Catanduva;PALMARES PAULISTA;São Paulo;"048°50'46,0""O";"21°07'46,0""S";567;VFR Diurna;7/25;760;18;5000Kg / ,5 MPa;Terra;08/11/2023;PA2013-2912;https://pergamum.anac.gov.br/arquivos/PA2013-2912
SWOX;SP0279;Fazenda Pixoxó;SÃO CARLOS;São Paulo;"047°52'58,0""O";"21°46'48,0""S";628;VFR Diurna;11/29;900;20;5700Kg / ,5 MPa;Concreto;08/02/2027;PA2017-0373;https://pergamum.anac.gov.br/arquivos/PA2017-0373
SNKH;PA0093;Creputiá;JACAREACANGA;Pará;"057°07'01,9""O";"08°07'00,9""S";300;VFR Diurna;15/33;1050;60;2500Kg / ,5 MPa;Cascalho;23/01/2025;PA2015-0132;https://pergamum.anac.gov.br/arquivos/PA2015-0132
SWNP;MS0430;Fazenda Diamante - Jufap;NOVA ALVORADA DO SUL;Mato Grosso do Sul;"053°49'11,0""O";"21°35'26,0""S";361;VFR Diurna;8/26;994;10;5700Kg / ,5 MPa;Terra;;;
SSKJ;RN0012;Pau dos Ferros;PAU DOS FERROS;Rio Grande do Norte;"038°11'49,0""O";"06°09'16,0""S";226;VFR Noturna;10/28;1040;30;15/F/A/Y/T;Asfalto;25/05/2022;PA2012-1043;https://pergamum.anac.gov.br/arquivos/PA2012-1043
SDIB;SP0107;Irmãos  Ribeiro;ESPÍRITO SANTO DO PINHAL;São Paulo;"046°46'33,0""O";"22°09'38,0""S";925;VFR Diurna;3/21;850;18;10/F/C/Y/U;Grama;18/04/2022;PA2014-1280;https://pergamum.anac.gov.br/arquivos/PA2014-1280
SDYT;RR0026;Tucuxim;AMAJARI;Roraima;"063°59'13,0""O";"03°45'50,0""N";137;VFR Diurna;15/33;500;19;4500Kg / ,5 MPa;Terra;;;
SSDI;MA0044;Fazenda Bacatuba;BURITI BRAVO;Maranhão;"043°42'20,0""O";"05°39'30,0""S";178;VFR Diurna;16/34;900;18;2155Kg / ,5 MPa;Piçarra;10/04/2024;PA2014-0865;https://pergamum.anac.gov.br/arquivos/PA2014-0865
SWZT;MG0210;Fazenda do Brejo ;PARAOPEBA;Minas Gerais;"044°28'25,0""O";"19°15'18,0""S";747;VFR Diurna;3/21;1240;23;8/F/C/Y/U;Asfalto;24/01/2023;PA2014-1201;https://pergamum.anac.gov.br/arquivos/PA2014-1201
SNIS;MA0039;Fazenda Rio Largo;CAXIAS;Maranhão;"043°35'52,0""O";"05°11'49,0""S";140;VFR Diurna;1/19;1000;21;3000Kg / ,5 MPa;Piçarra;25/01/2023;PA2013-0216;https://pergamum.anac.gov.br/arquivos/PA2013-0216
SNZP;MT0577;Fazenda Três Lagoas;SAPEZAL;Mato Grosso;"058°43'41,0""O";"13°15'30,0""S";535;VFR Diurna;2/20;1199;20;5700Kg / ,5 MPa;Terra;12/02/2030;PA2019-72;https://pergamum.anac.gov.br/arquivos/PA2019-72
SJCU;BA0344;SJ Agropecuária;CORRENTINA;Bahia;"045°53'20,0""O";"13°41'40,0""S";868;VFR Diurna;10/28;1100;20;5700Kg / ,5 MPa;Terra;12/02/2030;PA2019-224;https://pergamum.anac.gov.br/arquivos/PA2019-224
SNVZ;BA0260;Fazenda Flor da Serra;JABORANDI;Bahia;"046°10'47,0""O";"14°06'03,0""S";994;VFR Diurna;12/30;1200;20;5700Kg / ,5 MPa;Terra;26/06/2029;PA2019-1860;https://pergamum.anac.gov.br/arquivos/PA2019-1860
SNVJ;MT0272;Fazenda Senhora Aparecida;TANGARÁ DA SERRA;Mato Grosso;"058°32'34,8""O";"14°42'14,0""S";561;VFR Diurna;2/20;1000;20;5700Kg / ,5 MPa;Cascalho;22/11/2028;PA2018-3426;https://pergamum.anac.gov.br/arquivos/PA2018-3426
SSXT;SP0262;Cristal;BORÁ;São Paulo;"050°29'35,0""O";"22°10'56,0""S";426;VFR Diurna;3/21;800;20;3000Kg / ,5 MPa;Terra;02/07/2025;PA2015-1641;https://pergamum.anac.gov.br/arquivos/PA2015-1641
SSWR;MS0344;Fazenda Campana;RIO BRILHANTE;Mato Grosso do Sul;"054°17'43,0""O";"21°53'17,0""S";318;VFR Diurna;1/19;1000;20;5500Kg / ,5 MPa;Cascalho;20/06/2022;PA2015-2796;https://pergamum.anac.gov.br/arquivos/PA2015-2796
SILY;BA0267;Tabuleiro V;CORRENTINA;Bahia;"045°22'30""O";"13°14'40,0""S";769;VFR Diurna;18/36;1201;20;5700Kg / ,5 MPa;Cascalho;22/08/2029;PA2019-2464;https://pergamum.anac.gov.br/arquivos/PA2019-2464
SWXT;PI0067;Fazenda Parnaguá;SANTA FILOMENA;Piauí;"045°37'04,0""O";"09°06'17,0""S";579;VFR Diurna;14/32;1187;20;5700Kg / ,5 MPa;Cascalho;13/12/2029;PA2019-3833;https://pergamum.anac.gov.br/arquivos/PA2019-3833
SNXN;PA0167;Fazenda Novo Progresso;ALTAMIRA;Pará;"054°59'02,0""O";"06°37'17,0""S";269;VFR Diurna;18/36;1000;20;5500Kg / ,5 MPa;Cascalho;03/10/2029;PA2019-2937;https://pergamum.anac.gov.br/arquivos/PA2019-2937
SJHX;MG0124;Fazenda Ouro Verde;UNAÍ;Minas Gerais;"047°17'30,0""O";"16°35'40,0""S";899;VFR Diurna;11/29;800;18;4000Kg / ,5 MPa;Grama;19/07/2027;PA2017-2008;https://pergamum.anac.gov.br/arquivos/PA2017-2008
SSGD;BA0247;Fazenda Porta do Céu;JABORANDI;Bahia;"045°50'20,0""O";"14°06'56,0""S";891;VFR Diurna;9/27;1000;18;5700Kg / ,5 MPa;Terra;23/04/2029;PA2019-1184;https://pergamum.anac.gov.br/arquivos/PA2019-1184
SISS;MT0504;Vô Amantino;CLÁUDIA;Mato Grosso;"055°14'20,0""O";"11°39'17,0""S";362;VFR Diurna;14/32;800;18;5700Kg / ,5 MPa;Cascalho;29/05/2029;PA2019-1536;https://pergamum.anac.gov.br/arquivos/PA2019-1536
SNNN;MG0316;Fazenda Buriti II;ARINOS;Minas Gerais;"045°59'51""O";"15°59'23,0""S";510;VFR Diurna;1/19;1100;23;5400Kg / ,5 MPa;Terra;03/07/2029;PA2019-1914;https://pergamum.anac.gov.br/arquivos/PA2019-1914
SWJF;MS0381;Fazenda São Francisco;CORUMBÁ;Mato Grosso do Sul;"056°53'59,0""O";"17°38'53,0""S";106;VFR Diurna;3/21;550;20;5000Kg / ,5 MPa;Grama;10/09/2028;PA2018-2721;https://pergamum.anac.gov.br/arquivos/PA2018-2721
SWUU;MS0425;Fazenda Três Marias;ÁGUA CLARA;Mato Grosso do Sul;"053°03'01,2""O";"19°30'11,7""S";555;VFR Diurna;10/28;1000;40;5600Kg / ,5 MPa;Terra;17/12/2028;PA2018-3871;https://pergamum.anac.gov.br/arquivos/PA2018-3871
SSNS;BA0269;Fazenda Pajuçara;CORRENTINA;Bahia;"045°06'17,0""O";"13°10'59,0""S";723;VFR Diurna;13/31;1500;30;5700Kg / ,5 MPa;Cascalho;22/08/2029;PA2019-2463;https://pergamum.anac.gov.br/arquivos/PA2019-2463
SSWG;PI0040;Fazenda Galiléia;BAIXA GRANDE DO RIBEIRO;Piauí;"045°19'51,0""O";"09°02'57,0""S";615;VFR Diurna;12/30;1200;18;5600Kg / ,5 MPa;Piçarra;24/10/2027;PA2017-3323;https://pergamum.anac.gov.br/arquivos/PA2017-3323
SSYB;SP0263;Fazenda Bela Manhã;SANTA CLARA D'OESTE;São Paulo;"050°53'33""O";"20°01'04,0""S";374;VFR Diurna;12/30;650;18;5700Kg / ,5 MPa;Grama;26/04/2028;PA2018-1282;https://pergamum.anac.gov.br/arquivos/PA2018-1282
SWXJ;MT0431;Chácara São José;CUIABÁ;Mato Grosso;"056°00'15,0""O";"15°35'45,0""S";166;VFR Diurna;14/32;600;18;5000Kg / ,5 MPa;Cascalho;29/01/2025;PA2016-0443;https://pergamum.anac.gov.br/arquivos/PA2016-0443
SNCB;PA0084;Castanhal;PRAINHA;Pará;"053°56'38,0""O";"02°31'32,0""S";153;VFR Diurna;7/25;970;30;5700Kg / ,5 MPa;Piçarra;31/03/2024;PA2016-2902;https://pergamum.anac.gov.br/arquivos/PA2016-2902
SWCI;GO0203;Agropecuária Rio da Prata;POSSE;Goiás;"046°32'53,7""O";"14°13'30,2""S";534;VFR Diurna;16/34;895,3;18;13/F/B/Y/T;Asfalto;28/08/2029;PA2019-2572;https://pergamum.anac.gov.br/arquivos/PA2019-2572
SSKA;MS0297;Fazenda Campinas;CORUMBÁ;Mato Grosso do Sul;"056°21'35,0""O";"18°54'20,0""S";100;VFR Diurna;1/19;600;23;5000Kg / ,5 MPa;Grama;08/06/2021;PA2011-1127;https://pergamum.anac.gov.br/arquivos/PA2011-1127
SSAY;MS0246;Sítio Pouso do Aviador;CAMPO GRANDE;Mato Grosso do Sul;"054°28'23,0""O";"20°29'28,0""S";593;VFR Diurna;5/23;1000;20;5/F/C/Y/U;Asfalto;;;
SNWG;MS0234;Fazenda Iporã;ITAQUIRAÍ;Mato Grosso do Sul;"054°03'28,0""O";"23°35'13,0""S";180;VFR Diurna;2/20;800;40;5000Kg / ,5 MPa;Grama;17/01/2024;PA2014-0110;https://pergamum.anac.gov.br/arquivos/PA2014-0110
SWZS;MT0450;Fazenda Nova Larga;CÁCERES;Mato Grosso;"057°40'15,0""O";"16°39'30,0""S";113;VFR Diurna;1/19;660;23;5700Kg / ,5 MPa;Terra;09/05/2022;PA2012-0879;https://pergamum.anac.gov.br/arquivos/PA2012-0879
SJFL;TO0028;Fazenda Campo Formoso;SANDOLÂNDIA;Tocantins;"049°51'56,0""O";"12°33'42,0""S";330;VFR Diurna;6/24;800;20;5000Kg / ,5 MPa;Cascalho;10/04/2025;PA2015-0857;https://pergamum.anac.gov.br/arquivos/PA2015-0857
SIWZ;MS0139;Fazenda Fazendinha;AQUIDAUANA;Mato Grosso do Sul;"056°29'03,0""O";"19°28'50,0""S";105;VFR Diurna;5/23;900;24;3000Kg / ,5 MPa;Grama;;;
SJUB;MT0225;Fazenda Rio Azul;VILA BELA DA SANTÍSSIMA TRINDADE;Mato Grosso;"060°13'09,0""O";"15°11'00,0""S";297;VFR Diurna;1/19;900;20;5000Kg / ,5 MPa;Cascalho;26/06/2022;PA2018-0160;https://pergamum.anac.gov.br/arquivos/PA2018-0160
SWQC;GO0143;Fazenda São Francisco;RIO VERDE;Goiás;"051°35'42""O";"17°30'10,0""S";952;VFR Diurna;18/36;1200;25;5700Kg / ,5 MPa;Cascalho;05/10/2021;PA2011-1915;https://pergamum.anac.gov.br/arquivos/PA2011-1915
SJYI;RR0092;Arai;PACARAIMA;Roraima;"060°50'50,0""O";"04°26'38,0""N";457;VFR Diurna;9/27;700;25;4000Kg / ,5 MPa;Terra;28/12/2022;PA2012-2889;https://pergamum.anac.gov.br/arquivos/PA2012-2889
SSYU;MS0424;Fazenda Concórdia;NAVIRAÍ;Mato Grosso do Sul;"054°12'30,0""O";"22°51'07,0""S";350;VFR Diurna;6/24;1000;20;5700Kg / ,5 MPa;Cascalho;12/06/2029;PA2019-1724;https://pergamum.anac.gov.br/arquivos/PA2019-1724
SSXB;SE0009;Fazenda Água Boa Maricultura;ITAPORANGA D'AJUDA;Sergipe;"037°12'32,0""O";"11°07'07,0""S";5;IFR Noturna;7/25;680;20;2000Kg / ,34 MPa;Terra;15/10/2030;PA2020-2441;https://pergamum.anac.gov.br/arquivos/PA2020-2441
SJPT;MG0129;Quatro Ventos;UBERLÂNDIA;Minas Gerais;"048°06'02,0""O";"18°58'26,0""S";924;VFR Diurna;11/29;1100;25;5000Kg / ,5 MPa;Terra;21/03/2022;PA2012-0505;https://pergamum.anac.gov.br/arquivos/PA2012-0505
SWMQ;MT0368;Fazenda Muiraquitã;ARIPUANÃ;Mato Grosso;"060°32'52,0""O";"10°25'43,0""S";128;VFR Diurna;7/25;1200;40;8/F/C/Y/U;Grama;28/11/2024;PA2014-2835;https://pergamum.anac.gov.br/arquivos/PA2014-2835
SWLF;MG0200;Filial Campo Florido;CAMPO FLORIDO;Minas Gerais;"048°44'20,0""O";"19°48'50,0""S";596;VFR Diurna;14/32;720;18;5700Kg / ,5 MPa;Cascalho;;;
SNLJ;MS0216;Fazenda Campo Aliancinha;CORUMBÁ;Mato Grosso do Sul;"056°12'54""O";"18°36'18,0""S";121;VFR Diurna;17/35;850;18;5600Kg / ,5 MPa;Grama;19/11/2028;PA2018-3334;https://pergamum.anac.gov.br/arquivos/PA2018-3334
SWWE;PR0099;M. Baumann;PIÊN;Paraná;"049°30'03,0""O";"26°02'09,0""S";952;VFR Diurna;13/31;500;15;3600Kg / ,5 MPa;Grama;10/09/2028;PA2018-2687;https://pergamum.anac.gov.br/arquivos/PA2018-2687
SWYC;MT0435;Fazenda Rancho Alegre I;VILA BELA DA SANTÍSSIMA TRINDADE;Mato Grosso;"059°42'54""O";"16°15'22,0""S";262;VFR Diurna;18/36;1000;20;5700Kg / ,5 MPa;Terra;25/05/2026;PA2016-1281;https://pergamum.anac.gov.br/arquivos/PA2016-1281
SIUM;MA0025;Fazenda Planeste;BALSAS;Maranhão;"046°51'00,0""O";"08°33'22,0""S";561;VFR Diurna;10/28;1300;25;5700Kg / ,5 MPa;Terra;16/04/2024;PA2014-0930;https://pergamum.anac.gov.br/arquivos/PA2014-0930
SNOP;MT0262;Vale da Providência;RONDOLÂNDIA;Mato Grosso;"061°25'54,0""O";"10°33'35,0""S";213;VFR Diurna;11/29;750;18;5600Kg / ,5 MPa;Cascalho;23/02/2026;PA2016-0357;https://pergamum.anac.gov.br/arquivos/PA2016-0357
SNFM;MT0249;Fazenda Mourão;COLNIZA;Mato Grosso;"061°27'29,0""O";"08°59'11,0""S";145;VFR Diurna;3/21;1000;18;5700Kg / ,5 MPa;Cascalho;29/01/2026;PA2016-0177;https://pergamum.anac.gov.br/arquivos/PA2016-0177
SSVJ;MS0341;Fazenda São João;ALCINÓPOLIS;Mato Grosso do Sul;"053°54'17,0""O";"17°56'10,0""S";345;VFR Diurna;9/27;1000;18;5700Kg / ,5 MPa;Grama;25/05/2026;PA2016-1278;https://pergamum.anac.gov.br/arquivos/PA2016-1278
SDZV;MT0075;Fazenda Lagoa Vermelha;TESOURO;Mato Grosso;"053°25'09,0""O";"16°13'55,0""S";760;VFR Diurna;14/32;1000;18;5700Kg / ,5 MPa;Cascalho;25/05/2026;PA2016-1277;https://pergamum.anac.gov.br/arquivos/PA2016-1277
SJAI;GO0065;Fazenda Davilândia;MONTIVIDIU DO NORTE;Goiás;"048°45'09,8""O";"13°11'06,2""S";385;VFR Diurna;15/33;800;20;5000Kg / ,5 MPa;Terra;05/12/2023;PA2013-3186;https://pergamum.anac.gov.br/arquivos/PA2013-3186
SIPW;PI0023;Nossa Senhora de Fátima;TERESINA;Piauí;"042°42'20,0""O";"05°02'00,9""S";185;VFR Diurna;2/20;900;18;5700Kg / ,5 MPa;Terra;02/09/2021;PA2011-1644;https://pergamum.anac.gov.br/arquivos/PA2011-1644
SNKX;MS0215;Fazenda Santa Rosália;CORUMBÁ;Mato Grosso do Sul;"057°45'10,0""O";"19°43'23,0""S";85;VFR Diurna;9/27;1100;20;5000Kg / ,5 MPa;Grama;05/09/2027;PA2017-2756;https://pergamum.anac.gov.br/arquivos/PA2017-2756
SJDM;MT0167;Fazenda Jarinã;PEIXOTO DE AZEVEDO;Mato Grosso;"053°35'09,0""O";"10°19'31,0""S";339;VFR Diurna;17/35;1060;25;5600Kg / ,5 MPa;Cascalho;19/07/2028;PA2018-2113;https://pergamum.anac.gov.br/arquivos/PA2018-2113
SNRQ;PA0104;Porto Rico;JACAREACANGA;Pará;"057°22'26,2""O";"06°06'19,8""S";101;VFR Diurna;11/29;980;18;5700Kg / ,5 MPa;Piçarra;29/08/2023;PA2013-2187;https://pergamum.anac.gov.br/arquivos/PA2013-2187
SIMO;PR0048;Fazenda Morro Vermelho;RIBEIRÃO CLARO;Paraná;"049°46'39,6""O";"23°13'40,6""S";770;VFR Noturna;18/36;730;23;1542Kg / ,5 MPa;Terra;26/10/2026;PA2016-2806;https://pergamum.anac.gov.br/arquivos/PA2016-2806
SITJ;MS0129;Estância Tejo;COXIM;Mato Grosso do Sul;"054°46'01,7""O";"18°20'41,1""S";334;VFR Diurna;7/25;800;20;5700Kg / ,5 MPa;Cascalho;09/10/2027;PA2017-3202;https://pergamum.anac.gov.br/arquivos/PA2017-3202
SNNV;SC0035;Vila Nova;JOINVILLE;Santa Catarina;"048°56'05,0""O";"26°18'23,0""S";21;VFR Diurna;15/33;500;18;3000Kg / ,5 MPa;Grama;18/05/2025;PA2015-1162;https://pergamum.anac.gov.br/arquivos/PA2015-1162
SJZC;PE0018;Destilaria São Luiz;MARAIAL;Pernambuco;"035°47'06""O";"08°46'44,0""S";418;VFR Diurna;9/27;1000;28;5600Kg / ,5 MPa;Terra;;;
SJHE;MT0175;Fazenda Palmeira;IPIRANGA DO NORTE;Mato Grosso;"055°59'34,0""O";"12°05'17,0""S";364;VFR Diurna;4/22;800;25;5700Kg / ,5 MPa;Cascalho;19/11/2028;PA2018-3260;https://pergamum.anac.gov.br/arquivos/PA2018-3260
SSZW;MG0460;Usina Coruripe - Filial Limeira do Oeste;LIMEIRA DO OESTE;Minas Gerais;"050°39'20,0""O";"19°31'24,0""S";422;VFR Diurna;5/23;950;18;5600Kg / ,5 MPa;Terra;13/11/2029;PA2019-3463;https://pergamum.anac.gov.br/arquivos/PA2019-3463
SJKS;RR0039;Catrimani I;MUCAJAÍ;Roraima;"063°00'30,0""O";"02°22'32,0""N";333;VFR Diurna;11/29;700;30;3000Kg / ,5 MPa;Grama;28/12/2022;PA2012-2839;https://pergamum.anac.gov.br/arquivos/PA2012-2839
SJUS;GO0089;Fazenda Acará;BRITÂNIA;Goiás;"051°09'27,7""O";"15°04'36,0""S";262;VFR Diurna;4/22;1200;19;5700Kg / ,5 MPa;Grama;15/12/2020;PA2014-0108;https://pergamum.anac.gov.br/arquivos/PA2014-0108
SWAZ;AM0044;Santo Atanázio;SÃO GABRIEL DA CACHOEIRA;Amazonas;"069°18'02,0""O";"00°23'59,0""N";120;VFR Diurna;17/35;900;30;2500Kg / ,5 MPa;Piçarra;05/06/2025;PA2015-1351;https://pergamum.anac.gov.br/arquivos/PA2015-1351
SJWI;MS0188;Fazenda Flor;CAMPO GRANDE;Mato Grosso do Sul;"053°45'19,0""O";"21°30'03,0""S";413;VFR Diurna;8/26;1000;20;4000Kg / ,5 MPa;Terra;10/05/2023;PA2019-1365;https://pergamum.anac.gov.br/arquivos/PA2019-1365
SJME;RR0066;Mato Grosso;PACARAIMA;Roraima;"060°54'11,0""O";"04°34'14,0""N";848;VFR Diurna;6/24;700;25;4000Kg / ,5 MPa;Cascalho;28/12/2022;PA2012-2865;https://pergamum.anac.gov.br/arquivos/PA2012-2865
SJMM;RR0073;Pipi;UIRAMUTÃ;Roraima;"060°19'19,0""O";"04°55'48,0""N";788;VFR Diurna;3/21;650;25;4000Kg / ,5 MPa;Terra;28/12/2022;PA2012-2872;https://pergamum.anac.gov.br/arquivos/PA2012-2872
SJNB;RR0083;Ubarú;PACARAIMA;Roraima;"060°48'07,9""O";"04°30'06,0""N";364;VFR Diurna;10/28;600;20;4000Kg / ,5 MPa;Terra;28/12/2022;PA2012-2882;https://pergamum.anac.gov.br/arquivos/PA2012-2882
SJNF;RR0086;Wilimon;UIRAMUTÃ;Roraima;"060°10'34,0""O";"04°38'05,9""N";530;VFR Diurna;2/20;550;20;4000Kg / ,5 MPa;Terra;28/12/2022;PA2012-2884;https://pergamum.anac.gov.br/arquivos/PA2012-2884
SJLS;RR0059;Marupá;BONFIM;Roraima;"059°49'17,0""O";"02°07'31,0""N";151;VFR Diurna;18/36;600;20;4000Kg / ,5 MPa;Terra;28/12/2022;PA2012-2858;https://pergamum.anac.gov.br/arquivos/PA2012-2858
SNZE;RS0089;Fazenda Santa Zélia;ITAQUI;Rio Grande do Sul;"055°53'20,0""O";"29°18'01,0""S";112;VFR Diurna;2/20;1199;25;5600Kg / ,25 MPa;Grama;25/05/2026;PA2016-3352;https://pergamum.anac.gov.br/arquivos/PA2016-3352
SWBB;BA0252;Castelli Fazenda Sobradinho;CORRENTINA;Bahia;"046°05'50,0""O";"13°37'12,5""S";939;VFR Diurna;10/28;1399;20;5700Kg / ,5 MPa;Cascalho;;;
SWER;MS0370;Fazenda Entre Rios;PORTO MURTINHO;Mato Grosso do Sul;"057°06'33,0""O";"21°21'54,0""S";320;VFR Diurna;11/29;1200;40;3000Kg / ,5 MPa;Terra;10/05/2023;PA2013-1150;https://pergamum.anac.gov.br/arquivos/PA2013-1150
SWEV;BA0334;Fazenda Cambara 1;CORRENTINA;Bahia;"046°03'08,0""O";"13°36'17,0""S";902;VFR Diurna;18/36;950;20;5600Kg / ,5 MPa;Terra;10/09/2029;PA2019-2788;https://pergamum.anac.gov.br/arquivos/PA2019-2788
SITS;MT0578;Estância Indiana;LUCAS DO RIO VERDE;Mato Grosso;"055°58'56,0""O";"13°07'49,0""S";423;VFR Diurna;2/20;1300;18;5700Kg / ,5 MPa;Cascalho;07/01/2030;PA2019-36;https://pergamum.anac.gov.br/arquivos/PA2019-36
SDXU;MT0489;Fazenda Relu;GAÚCHA DO NORTE;Mato Grosso;"053°15'53,0""O";"13°37'36,0""S";350;VFR Diurna;6/24;1100;18;5700Kg / ,5 MPa;Cascalho;11/04/2029;PA2019-0961;https://pergamum.anac.gov.br/arquivos/PA2019-0961
SSRR;MS0328;Fazenda Meu Ranchinho;PEDRO GOMES;Mato Grosso do Sul;"054°34'48""O";"18°13'06,0""S";295;VFR Diurna;5/23;750;18;5700Kg / ,5 MPa;Cascalho;08/12/2027;PA2017-3836;https://pergamum.anac.gov.br/arquivos/PA2017-3836
SSMP;PR0085;Fazenda Três Minas;ITAMBÉ;Paraná;"052°00'36""O";"23°40'22,0""S";426;VFR Diurna;6/24;700;18;2500Kg / ,5 MPa;Grama;04/03/2023;PA2013-0537;https://pergamum.anac.gov.br/arquivos/PA2013-0537
SSVR;MA0112;Adão Veríssimo;ITINGA DO MARANHÃO;Maranhão;"047°26'17,0""O";"04°22'35,0""S";149;VFR Diurna;10/28;800;18;3000Kg / ,5 MPa;Cascalho;12/02/2030;PA2019-362;https://pergamum.anac.gov.br/arquivos/PA2019-362
